Timestamp,HeartRate
280453.956654773,63.0
280453.956654773,63.0
280949.120354773,63.0
281938.356554773,64.0
282929.203954773,65.0
283919.087854773,65.0
284908.833254773,65.0
285898.845054773,66.0
286888.665154773,66.0
286888.665154773,66.0
287878.510954773,66.0
288869.120354773,67.0
289858.760254773,67.0
290849.050954773,67.0
291839.040954773,67.0
292829.400254773,67.0
293818.281054773,66.0
294809.289054773,66.0
295799.099954773,66.0
298769.318654773,66.0
298769.318654773,66.0
299264.244954773,65.0
299759.704754773,65.0
300748.772154773,64.0
302728.914054773,64.0
302728.914054773,64.0
303223.405654773,64.0
304214.135554773,64.0
305203.559754773,64.0
306193.498654773,65.0
307183.279954773,65.0
308174.614954773,66.0
309163.999954773,66.0
310153.791654773,66.0
311144.142454773,65.0
312133.831654773,65.0
312133.831654773,65.0
313123.440854773,65.0
315598.753454773,66.0
315599.755254773,66.0
317083.821154773,66.0
317579.154654773,66.0
318073.398254773,66.0
319063.864954773,66.0
320054.440354773,65.0
322034.111954773,65.0
322034.111954773,65.0
323023.372554773,65.0
323023.372554773,65.0
324014.417154773,65.0
325004.067154773,65.0
326488.608254773,65.0
326983.226754773,66.0
327973.705354773,66.0
328963.525054773,66.0
329954.251054773,66.0
329954.251054773,66.0
330943.547954773,66.0
331933.780754773,66.0
334905.173254773,67.0
334905.173254773,68.0
334905.173254773,68.0
335893.198854773,68.0
336884.008554773,68.0
338369.417754773,67.0
338862.791254773,67.0
338862.791254773,67.0
339853.484954773,67.0
341339.095454773,67.0
341835.537254773,67.0
342824.392654773,67.0
343814.287354773,68.0
344804.037154773,67.0
345794.865854773,67.0
346783.717954773,67.0
349259.705654773,67.0
349259.705654773,66.0
349259.705654773,66.0
350249.196054773,66.0
350743.822054773,67.0
352228.463054773,67.0
353714.643254773,68.0
354209.077854773,68.0
354209.077854773,68.0
355198.303754773,68.0
356683.602054773,69.0
357179.306654773,69.0
358665.543254773,69.0
359654.211754773,70.0
359654.211754773,70.0
360148.923754773,71.0
361138.202254773,71.0
362128.250654773,71.0
363118.748154773,71.0
364108.283054773,71.0
364108.283054773,71.0
365593.824454773,71.0
366089.419054773,71.0
367078.589254773,71.0
368068.671054773,72.0
368068.671054773,72.0
369058.943454773,72.0
370049.252254773,73.0
371038.280454773,73.0
372523.186654773,73.0
373018.991254773,73.0
374008.500054773,72.0
374008.500054773,72.0
374998.537054773,71.0
375988.740054773,72.0
376978.946554773,72.0
376978.946554773,72.0
378465.018154773,73.0
378958.482154773,73.0
379948.265254773,74.0
380938.849354773,75.0
380938.849354773,75.0
381928.954454773,75.0
382918.500954773,75.0
384403.051254773,74.0
384899.295354773,73.0
385889.238654773,73.0
386879.915854773,73.0
386879.915854773,73.0
387869.130754773,72.0
388859.108954773,72.0
390343.886154773,72.0
390838.593254773,72.0
391828.609754773,72.0
392819.054354773,72.0
393809.253654773,71.0
394799.496154773,71.0
394799.496154773,71.0
396283.537254773,71.0
397273.058854773,70.0
398263.681554773,69.0
398759.287654773,69.0
398759.287654773,69.0
399748.153454773,70.0
401233.419754773,71.0
402224.985254773,72.0
403214.012354773,74.0
403214.012354773,74.0
404203.597554773,75.0
405193.055854773,75.0
406183.258154773,74.0
406183.258154773,74.0
407173.312354773,74.0
408659.477054773,74.0
409153.835754773,76.0
409153.835754773,76.0
412619.192754773,77.0
413113.807754773,78.0
413113.807754773,78.0
413608.926654773,79.0
419054.424254773,79.0
419054.424254773,79.0
420043.739554773,80.0
420538.808954773,79.0
420538.808954773,74.0
420539.808354773,73.0
421033.062654773,70.0
421033.062654773,70.0
421034.358454773,70.0
421529.034254773,72.0
421529.034254773,72.0
422023.351954773,73.0
423013.883054773,76.0
423013.883054773,76.0
424003.755854773,80.0
424994.877054773,86.0
424994.877054773,86.0
425984.354254773,90.0
425984.354254773,90.0
427963.616354773,94.0
427963.616354773,94.0
427964.611054773,98.0
427964.611054773,98.0
429449.289154773,102.0
429449.289154773,102.0
429944.712254773,105.0
430935.076454773,108.0
430935.076454773,108.0
431924.648854773,109.0
432914.156254773,107.0
432914.156254773,107.0
433904.122554773,101.0
434893.312954773,96.0
434893.312954773,96.0
435883.525254773,94.0
436873.409254773,91.0
436873.409254773,91.0
437863.480254773,91.0
437863.480254773,91.0
438853.513254773,94.0
438853.513254773,94.0
439843.758654773,97.0
440836.058154773,101.0
440836.058154773,101.0
441824.136954773,103.0
441824.136954773,103.0
442814.358854773,105.0
442814.358854773,105.0
443803.660254773,105.0
444793.242854773,105.0
444793.242854773,105.0
445784.233854773,106.0
445784.233854773,106.0
446773.556454773,109.0
446773.556454773,109.0
446773.556454773,109.0
447765.033354773,109.0
448753.075654773,109.0
449744.104854773,109.0
449744.104854773,109.0
451723.910554773,108.0
452217.879854773,103.0
452217.879854773,103.0
453209.842954773,101.0
454693.629954773,96.0
454693.629954773,96.0
455189.795054773,94.0
456178.942054773,93.0
456178.942054773,93.0
457667.471654773,94.0
457667.471654773,94.0
458158.985854773,95.0
459149.232554773,95.0
459149.232554773,95.0
461129.860754773,96.0
461624.210354773,96.0
461624.210354773,96.0
462119.625854773,95.0
462119.625854773,95.0
463603.956054773,94.0
464098.765654773,94.0
464098.765654773,94.0
465088.780154773,94.0
466078.280954773,95.0
466078.280954773,95.0
467068.368054773,96.0
468059.002854773,96.0
468059.002854773,96.0
469544.167054773,95.0
470037.902054773,91.0
470037.902054773,91.0
471028.928154773,89.0
472019.667054773,89.0
472019.667054773,89.0
473008.913154773,90.0
473999.103354773,91.0
473999.103354773,91.0
474988.672954773,93.0
474988.672954773,93.0
475979.157554773,94.0
476968.972954773,96.0
476968.972954773,96.0
478455.911054773,98.0
478455.911054773,98.0
478949.382454773,99.0
479938.158054773,101.0
479938.158054773,101.0
481422.860154773,100.0
482419.266154773,99.0
484393.845554773,90.0
484393.845554773,90.0
484393.845554773,88.0
485383.933554773,86.0
485879.673654773,85.0
485879.673654773,85.0
487858.345354773,84.0
487858.345354773,84.0
487858.345354773,84.0
488848.770754773,85.0
490333.559354773,88.0
490333.559354773,88.0
490828.556754773,88.0
492314.722054773,87.0
493304.529854773,85.0
493304.529854773,85.0
493799.845454773,84.0
494789.939354773,83.0
494789.939354773,83.0
495780.177754773,83.0
496769.051154773,84.0
496769.051154773,84.0
497758.435854773,85.0
498753.078554773,86.0
499738.709154773,86.0
499738.709154773,86.0
501718.773654773,85.0
502213.164954773,85.0
502213.164954773,85.0
503203.369254773,85.0
504193.358854773,86.0
504193.358854773,86.0
505183.552054773,86.0
506671.539354773,87.0
507163.890454773,88.0
508154.363454773,87.0
508154.363454773,87.0
509144.214454773,85.0
510133.248454773,80.0
511124.286054773,79.0
512608.992754773,78.0
515084.761054773,76.0
515084.761054773,76.0
516073.582554773,76.0
516074.581854773,76.0
516074.581854773,76.0
516074.581854773,76.0
517063.982854773,78.0
517063.982854773,78.0
518548.913954773,80.0
519043.751954773,84.0
520033.655354773,86.0
521023.413454773,87.0
522013.003754773,83.0
522013.003754773,83.0
523498.835854773,78.0
524488.648254773,76.0
524983.608854773,75.0
525973.999754773,74.0
525973.999754773,74.0
526964.417954773,75.0
527954.203554773,76.0
527954.203554773,76.0
528943.453754773,77.0
529933.851254773,78.0
530923.409254773,78.0
531913.390954773,78.0
533398.589154773,78.0
533398.589154773,78.0
533894.234754773,77.0
535379.385654773,76.0
535873.091954773,76.0
536863.825454773,75.0
536863.825454773,75.0
537853.881554773,75.0
538844.821354773,75.0
539833.812554773,76.0
539833.812554773,76.0
540823.543754773,76.0
542309.544954773,77.0
542309.544954773,77.0
542803.799954773,78.0
543793.942554773,79.0
544783.095654773,80.0
544783.095654773,80.0
546764.463054773,80.0
546764.463054773,81.0
547753.231654773,81.0
547753.231654773,81.0
548744.724954773,81.0
550228.341454773,82.0
550228.341454773,82.0
551218.520154773,82.0
552208.416754773,82.0
553199.376254773,83.0
553199.376254773,83.0
554189.422654773,83.0
555178.266154773,82.0
556168.060354773,82.0
556168.060354773,82.0
557159.499554773,81.0
558148.858454773,82.0
559139.034654773,82.0
559139.034654773,82.0
560129.286354773,82.0
561118.717154773,81.0
563593.607254773,80.0
563593.607254773,78.0
563593.607254773,78.0
564583.801454773,78.0
565078.313054773,78.0
566564.149854773,78.0
566564.149854773,78.0
567058.989954773,79.0
568049.122554773,79.0
568049.122554773,79.0
569039.750154773,80.0
570029.146554773,80.0
571513.767954773,81.0
571513.767954773,81.0
572008.739454773,82.0
573989.290054773,83.0
573989.290054773,83.0
573989.290054773,84.0
574978.699554773,84.0
575975.295554773,85.0
575975.295554773,85.0
576958.897954773,84.0
577948.851454773,83.0
577948.851454773,83.0
578938.944254773,83.0
580423.473654773,85.0
580423.473654773,85.0
580917.995054773,85.0
581911.303554773,85.0
581911.303554773,85.0
582898.969854773,86.0
583889.150554773,86.0
584880.368854773,86.0
584880.368854773,86.0
585869.863254773,86.0
586858.876754773,85.0
587848.434854773,83.0
587848.434854773,83.0
589828.434654773,83.0
589829.423854773,82.0
590828.531154773,82.0
590828.531154773,82.0
591809.231854773,83.0
592799.275354773,83.0
592799.275354773,83.0
593789.212654773,84.0
594779.053754773,84.0
595768.761754773,83.0
596759.021654773,82.0
597749.224754773,80.0
598738.620954773,78.0
598738.620954773,78.0
600718.631154773,77.0
601215.299454773,77.0
602203.906354773,77.0
602203.906354773,77.0
603693.498254773,78.0
604184.196454773,78.0
605173.476454773,78.0
606164.132254773,78.0
606164.132254773,78.0
607157.242654773,77.0
608143.558754773,77.0
609136.872954773,76.0
609136.872954773,76.0
610122.944554773,76.0
611113.853954773,77.0
611113.853954773,77.0
612103.813154773,78.0
613093.417854773,79.0
614084.281854773,80.0
615073.731254773,81.0
615073.731254773,81.0
616063.443254773,81.0
617053.519254773,80.0
617053.519254773,80.0
619529.078654773,80.0
619529.592354773,80.0
620023.702154773,81.0
620023.702154773,81.0
621013.508454773,81.0
622003.960754773,82.0
622994.003054773,82.0
622994.003054773,82.0
624479.422754773,82.0
624974.160854773,82.0
624974.160854773,82.0
625964.196654773,82.0
627944.231054773,82.0
627944.231054773,82.0
628933.397954773,83.0
629428.927754773,83.0
629923.258154773,84.0
629923.258154773,84.0
630912.898354773,84.0
631905.145454773,85.0
631905.145454773,85.0
632894.352054773,85.0
634874.491754773,86.0
634874.491754773,86.0
634874.491754773,86.0
636358.764454773,88.0
636358.764454773,88.0
637348.041554773,88.0
637846.681554773,88.0
638833.308554773,87.0
638833.308554773,87.0
639823.438454773,87.0
640818.178454773,86.0
640818.178454773,86.0
641804.340154773,86.0
642794.270354773,86.0
642794.270354773,86.0
643784.058254773,86.0
645269.338654773,86.0
645269.338654773,86.0
645764.038254773,87.0
646753.731154773,87.0
648238.987154773,87.0
648238.987154773,87.0
649228.225754773,87.0
650218.738854773,86.0
650218.738854773,86.0
651209.454054773,85.0
652693.519654773,85.0
653188.603054773,85.0
653188.603054773,85.0
654178.775454773,84.0
655169.037354773,85.0
655169.037354773,85.0
656167.943654773,85.0
657148.741554773,86.0
657148.741554773,86.0
658138.590954773,87.0
658138.590954773,87.0
659128.665454773,88.0
660119.115154773,90.0
660119.115154773,90.0
661108.511654773,92.0
663089.005954773,94.0
663089.005954773,94.0
663089.005954773,96.0
663089.005954773,96.0
664078.658254773,97.0
664078.658254773,97.0
665068.843154773,98.0
666057.906954773,99.0
666057.906954773,99.0
667048.792454773,99.0
668038.564554773,97.0
668038.564554773,97.0
669029.045054773,96.0
670019.717754773,94.0
671007.709854773,92.0
671007.709854773,92.0
671997.795654773,91.0
672988.470054773,90.0
672988.470054773,90.0
674474.204054773,90.0
674968.855354773,90.0
674968.855354773,90.0
675958.974954773,91.0
675958.974954773,91.0
677443.523954773,91.0
677938.055554773,92.0
678928.169054773,93.0
679917.881954773,91.0
679917.881954773,91.0
679917.881954773,91.0
680909.005654773,91.0
681898.178754773,92.0
681898.178754773,92.0
682888.808554773,92.0
683879.780854773,92.0
683879.780854773,92.0
684868.948854773,93.0
684868.948854773,93.0
685858.519054773,94.0
687839.492754773,96.0
687839.492754773,96.0
687839.492754773,97.0
687839.492754773,97.0
688827.767954773,97.0
689818.535254773,96.0
689818.535254773,96.0
691302.775454773,96.0
691798.621954773,95.0
691798.621954773,95.0
692789.328854773,94.0
694273.660754773,94.0
694273.660754773,94.0
694767.996054773,96.0
694767.996054773,96.0
695758.091354773,96.0
696748.446054773,98.0
696748.446054773,98.0
697738.587954773,99.0
697738.587954773,99.0
699223.059254773,99.0
699223.059254773,99.0
700214.296454773,99.0
701203.819654773,101.0
701203.819654773,101.0
702193.237154773,102.0
702193.237154773,102.0
703183.477154773,103.0
704669.269854773,103.0
704669.269854773,103.0
705163.462054773,103.0
705163.462054773,103.0
706153.183254773,102.0
707639.004254773,101.0
707639.004254773,101.0
708133.866054773,102.0
708133.866054773,102.0
709123.993754773,103.0
709123.993754773,103.0
